;NBr of PCBs:;2;;;;;;
;Provider:;Mouser Electronics;;;;;;
;;;;;;;;
;;;;;;;;
Reference;Value;Unit cost [€];Qty per PCB;Qty to order;Total cost [€];Manufacturer_Name;Manufacturer_Part_Number;Manufacturer_Reference_Mouser
C1,C6,C10;4.7µ;0.105;3;6;0.63;Murata Electronics; GRM155R60J475ME47D;81-GRM155R60J475ME7D
C2,C3,C4,C5,C7,C11,C12,C16,C29,C35;100n;0.095;10;20;1.9;Murata Electronics;GRM155R61H104KE19D;81-GRM155R61H104KE9D
C8,C9;5.1p;0.152;2;4;0.608;Murata Electronics;GJM1555C1H5R1WB01D;81-GJM1555C1H5R1WB1D
C13,C23;1n;0.095;2;4;0.38;Murata Electronics; GRM1555C1H102JA01D;81-GRM1555C1H102JA1D
C14;0.47µ;0.124;1;2;0.248;TDK;C1005X5R1E474K050BE;810-C1005X5R1E474KE
C15;47n;0.095;1;2;0.19;Murata Electronics;GRM155C71H473KE19D;81-GRM155C71H473KE9D
C17,C19;7;3.3;2;4;13.2;Vishay / BC Components;MAL222051012E3;594-MAL222051012E3
C18,C30;68p;0.095;2;4;0.38;Murata Electronics;GRM1555C1E680JA01D;81-GRM1555C1E680JA1D
C20,C22,C24,C28;10µ;0.779;4;8;6.232;Murata Electronics;GRM32DR71E106KA12K;81-GRM32DR71E106KA2K
C21;22µ;0.238;1;2;0.476;Murata Electronics;GRM155R60G226ME11D;81-GRM155R60G226ME1D
L7,R8,R11,R13,R16,R17,R21;0;0.095;7;14;1.33;Vishay / Dale;CRCW06030000Z0EI;71-CRCW06030000Z0EI
C26,C36;10p;0.095;2;4;0.38;KYOCERA AVX;04025A100JAT2A;581-04025A100J
C31;100p;0.2;1;2;0.4;KYOCERA AVX;04026C101KAT2A;581-04026C101KAT2A
C32,C33,C34;33p;0.095;3;6;0.57;KYOCERA AVX;04025A330JAT2A;581-04025A330J
D1,D2;ESDALC6V1-1U2;0.238;2;4;0.952;STMicroelectronics;ESDALC6V1-1U2;511-ESDALC6V1-1U2
D4;LED;0.266;1;2;0.532; Dialight;5988A10107F;645-5988A10107F
IC1;BME690;7.86;1;2;15.72;BOSCH;BME690;262-BME690
J1;Conn_ST_STDC14;3.05;1;2;6.1;Samtec;FTSH-107-01-L-DV-K-A;200-FTSH10701LDVKA
J2;SMA-J-P-H-ST-EM1;2.52;1;2;5.04; Samtec; SMA-J-P-H-ST-EM1;200-SMAJPHSTEM1
J4;Jumper_batt;0.447;1;2;0.894;Molex;90131-0122;538-90131-0122
L1;600R@100MHz;0.095;1;2;0.19;Murata Electronics;BLM18AG601SN1D;81-BLM11A601S
L2;15µ;0.19;1;2;0.38;Murata Electronics; LQM21DN150M70L;81-LQM21DN150M70L
L3;47n;0.105;1;2;0.21;Murata Electronics; LQW15AN47NG00D;81-LQW15AN47NG00D
L4,L5;10µ;0.2;2;4;0.8;Murata Electronics;LQM21DH100M70L;81-LQM21DH100M70L
R1;10k;0.095;1;2;0.19;YAGEO; RC0402FR-7D10KL;603-RC0402FR-7D10KL
R2,R3,R4;100;0.095;3;6;0.57;YAGEO;RC0402FR-7D100RL;603-RC0402FR-7D100RL
R5,R6;4.7k;0.095;2;4;0.38;YAGEO;RC0402FR-7D4K7L;603-RC0402FR-7D4K7L
R7;330;0.095;1;2;0.19;YAGEO;RC0402JR-7D330RL;603-RC0402JR-7D330RL
R9;1k;0.095;1;2;0.19;YAGEO;RC0402FR-7D1KL;603-RC0402FR-7D1KL
R19,R20;100k;0.095;2;4;0.38;YAGEO;RC0402FR-10100KL;603-RC0402FR-10100KL
SW1,SW2;SW_DIP_x02;0.285;2;4;1.14;Omron;B3F-1020;653-B3F-1020
U1;BGS12WN6E6327;0.314;1;3;0.942; Infineon;BGS12WN6E6327XTSA1;726-BGS12WN6E6327XTS
U2;STM32WLE5CCU6;6.75;1;2;13.5; STMicroelectronics; STM32WLE5CCU6;511-STM32WLE5CCU6
U4;BALFHB-WL-06D3;0.76;3;6;4.56;STMicroelectronics; BALFHB-WL-06D3;511-BALFHB-WL-06D3
U5;AEM10941-QFN;4.19;1;2;8.38;e-peas;AEM10941-QFN;120-AEM10941-QFN
X1;32.768kHz;0.808;1;2;1.616;NDK;NX2012SA-32.768K-STD-MUB-1;344-NX2012SA32768K1
X2;32MHz;0.684;1;2;1.368;KYOCERA AVX;CX2016SA32000F0FZZG4;581-CX2016SA32FFZZG4
;Resistor 0;0.095;1;2;0.19;Vishay / Dale;CRCW06030000Z0EI;71-CRCW06030000Z0EI
 ;Antenna;5.18;1;2;10.36;Taoglas;TI.08.C.0111;960-TI.08.C.0111
;SMA-J-P-H-ST-EM1;2.52;2;4;10.08; Samtec; SMA-J-P-H-ST-EM1;200-SMAJPHSTEM1
;Header 2pins 2.54;0.96;1;2;1.92;Hirose Connector;HIF3GA-2.54SP;798-HIF3GA-2.54SP
;;;;;;;;
;;;;Total:;113.698;;;
